Provincia,PIB (M EUR),PIB per capita (EUR)
Madrid,221432620,34028
Barcelona,163829876,29381
Valencia,57719399,22882
Sevilla,38215042,19665
Alicante,35061866,19066
Bizkaia,35045965,30519
Illes Balears,31420048,27134
Murcia,30601171,20766
Málaga,29675853,18036
A Coruña,26144519,23343
Zaragoza,25996273,27264
Tarragona,23742476,29989
Gipuzkoa,22694543,31551
Las Palmas,22686079,20221
Asturias,22639845,21981
Santa Cruz de Tenerife,21564942,20712
Cádiz,21512851,17231
Girona,21429506,28356
Pontevedra,20338727,21612
Navarra,19554577,30400
Granada,16399616,17894
Castellón,14980861,22882
Almería,14340076,20465
Córdoba,14152384,17964
Valladolid,13279457,25482
Cantabria,13225911,22767
Lleida,12435228,28759
Toledo,12360668,18022
Álava,11983377,36694
Badajoz,11925105,17637
Jaén,11159995,17465
Ciudad Real,10391326,20771
Huelva,10006993,19185
Burgos,9972671,27843
León,9575557,20446
La Rioja,8287052,26528
Albacete,7762548,19888
Lugo,7661522,23049
Cáceres,7573765,19077
Salamanca,6905532,20699
Ourense,6441121,20781
Huesca,6336201,28839
Guadalajara,4846946,18968
Cuenca,4552502,22639
Palencia,4137425,25322
Zamora,3480217,19617
Segovia,3464392,22469
Teruel,3343188,24661
Ávila,3138951,19532
Soria,2292878,24665
Ceuta,1660550,19537
Melilla,1520977,17934
